survey_id,response_id,start_date,duration,lat,long,random_id
SV_6tbzcMgiF3B4MxD,R_6nkdmW7Ji6WrxwB,17-Aug-20,0:51:58,,,20993
SV_6tbzcMgiF3B4MxD,R_3me15fggvDxDcwr,17-Aug-20,0:01:20,35.19360352,-80.68650055,27190
SV_6tbzcMgiF3B4MxD,R_Tke2qIImbp9JDt7,17-Aug-20,0:07:50,36.35740662,-78.39420319,73822
SV_6tbzcMgiF3B4MxD,R_1hYKXu1NAQXmFdq,17-Aug-20,0:01:25,39.01690674,-94.31369781,97850
SV_6tbzcMgiF3B4MxD,R_bronRpMIUR0qUVP,17-Aug-20,0:08:41,,,93211
SV_6tbzcMgiF3B4MxD,R_2SIgwjBqZcZn3Me,17-Aug-20,0:02:01,35.50549316,-82.99120331,15089
SV_6tbzcMgiF3B4MxD,R_1dv15AybF6jrCCA,17-Aug-20,0:01:42,,,49325
SV_6tbzcMgiF3B4MxD,R_UbYswgDjVqiv1rX,17-Aug-20,0:00:33,35.57460022,-80.8234024,66939
SV_6tbzcMgiF3B4MxD,R_73DfMHGInz7PO5X,17-Aug-20,0:00:46,33.74850464,-84.38710022,14429
SV_6tbzcMgiF3B4MxD,R_3ls1zAlW18zvfA5,17-Aug-20,0:00:56,35.48750305,-81.17549896,68534
SV_6tbzcMgiF3B4MxD,R_2xzuTPlK6LCE057,17-Aug-20,0:01:13,35.24940491,-81.3812027,97543
SV_6tbzcMgiF3B4MxD,R_yHLRF4OVT0dNf2N,17-Aug-20,0:00:34,42.72869873,-71.18340302,97967
SV_6tbzcMgiF3B4MxD,R_bIRr9LyKXpJxprr,17-Aug-20,0:01:29,34.7769928,-77.37689972,31083
SV_6tbzcMgiF3B4MxD,R_1LXP5F12riboN7E,17-Aug-20,0:01:04,41.70880127,-85.97599792,67326
SV_6tbzcMgiF3B4MxD,R_31AzvkI6gZLqcWg,17-Aug-20,0:01:09,40.78759766,-74.05999756,14883
SV_6tbzcMgiF3B4MxD,R_wO74AFL4fi29SCd,17-Aug-20,0:00:25,34.62579346,-79.00150299,42206
SV_6tbzcMgiF3B4MxD,R_sOva4kOROsc1lN7,17-Aug-20,0:01:13,,,30681
SV_6tbzcMgiF3B4MxD,R_3CsiKxO0lYpYknv,17-Aug-20,0:01:18,35.99040222,-77.84680176,74591
SV_6tbzcMgiF3B4MxD,R_3oQRs1v77v7Jq8s,17-Aug-20,0:00:48,40.18339539,-83.09120178,44373
SV_6tbzcMgiF3B4MxD,R_3qL4vh6Lnhe0xbX,17-Aug-20,0:01:58,,,24181
SV_6tbzcMgiF3B4MxD,R_erqy1bf8OIwnUhH,17-Aug-20,0:00:59,,,20864
SV_6tbzcMgiF3B4MxD,R_PLGI3wK9cTkhsUp,17-Aug-20,1:06:51,,,95241
SV_6tbzcMgiF3B4MxD,R_1r2N9GISIPsLy2h,17-Aug-20,0:01:40,36.02290344,-78.9464035,13180
SV_6tbzcMgiF3B4MxD,R_10usrrS7H19IpgD,17-Aug-20,0:00:36,36.50019836,-80.61630249,84904
SV_6tbzcMgiF3B4MxD,R_5AyBBQTXTr8qPgR,17-Aug-20,0:01:03,36.03900146,-78.87799835,99005
SV_6tbzcMgiF3B4MxD,R_1rwEO9yirHI19gr,17-Aug-20,0:01:00,35.71780396,-78.84279633,87295
SV_6tbzcMgiF3B4MxD,R_1lluzrTr9huAzOm,16-Aug-20,0:01:39,35.02209473,-80.53179932,39383
